symbol,name,nameUpperCase
ERJ,Embraer SA,EMBRAER SA
TPAC,"Trans-Pacific Aerospace Company, Inc.","TRANS-PACIFIC AEROSPACE COMPANY, INC."
COL,Rockwell Collins Inc.,ROCKWELL COLLINS INC.
TGI,"Triumph Group, Inc.","TRIUMPH GROUP, INC."
DCO,Ducommun Inc.,DUCOMMUN INC.
UTX,United Technologies Corporation,UNITED TECHNOLOGIES CORPORATION
ESL,Esterline Technologies Corp.,ESTERLINE TECHNOLOGIES CORP.
TATT,"TAT Technologies, Ltd.","TAT TECHNOLOGIES, LTD."
CVU,CPI Aerostructures Inc.,CPI AEROSTRUCTURES INC.
MLER,Moller International Inc.,MOLLER INTERNATIONAL INC.
AIR,AAR Corp.,AAR CORP.
BEAV,B/E Aerospace Inc.,B/E AEROSPACE INC.
HII,"Huntington Ingalls Industries, Inc.","HUNTINGTON INGALLS INDUSTRIES, INC."
SPR,"Spirit AeroSystems Holdings, Inc.","SPIRIT AEROSYSTEMS HOLDINGS, INC."
XLS,Exelis Inc.,EXELIS INC.
TASR,TASER International Inc.,TASER INTERNATIONAL INC.
PIVN,"Phoenix International Ventures, Inc.","PHOENIX INTERNATIONAL VENTURES, INC."
AIRI,Air Industries Group,AIR INDUSTRIES GROUP
LMIA,LMI Aerospace Inc.,LMI AEROSPACE INC.
AVAV,"AeroVironment, Inc.","AEROVIRONMENT, INC."
RGR,"Sturm, Ruger & Co. Inc.","STURM, RUGER & CO. INC."
HEI,HEICO Corporation,HEICO CORPORATION
SWHC,Smith & Wesson Holding Corporation,SMITH & WESSON HOLDING CORPORATION
ATK,Alliant Techsystems Inc.,ALLIANT TECHSYSTEMS INC.
GR.V,Great Atlantic Resources Corp.,GREAT ATLANTIC RESOURCES CORP.
DGI,"DigitalGlobe, Inc.","DIGITALGLOBE, INC."
OKRG,Oakridge Holdings Inc.,OAKRIDGE HOLDINGS INC.
GD,General Dynamics Corporation,GENERAL DYNAMICS CORPORATION
BUKS,Butler National Corporation,BUTLER NATIONAL CORPORATION
BZC,Breeze-Eastern Corporation,BREEZE-EASTERN CORPORATION
ORB,Orbital Sciences Corp.,ORBITAL SCIENCES CORP.
WWD,"Woodward, Inc.","WOODWARD, INC."
BEA.V,Belmont Resources Inc.,BELMONT RESOURCES INC.
ATRO,Astronics Corporation,ASTRONICS CORPORATION
ISSC,Innovative Solutions & Support Inc.,INNOVATIVE SOLUTIONS & SUPPORT INC.
CAE,CAE Inc.,CAE INC.
ASTC,Astrotech Corp.,ASTROTECH CORP.
BA,The Boeing Company,THE BOEING COMPANY
TDG,TransDigm Group Incorporated,TRANSDIGM GROUP INCORPORATED
ACFN,"Acorn Energy, Inc.","ACORN ENERGY, INC."
MOG-A,Moog Inc.,MOOG INC.
HEI-A,HEICO Corporation,HEICO CORPORATION
LMT,Lockheed Martin Corporation,LOCKHEED MARTIN CORPORATION
HXL,Hexcel Corp.,HEXCEL CORP.
RTN,Raytheon Company,RAYTHEON COMPANY
KAMN,Kaman Corporation,KAMAN CORPORATION
LLL,L-3 Communications Holdings Inc.,L-3 COMMUNICATIONS HOLDINGS INC.
NPK,National Presto Industries Inc.,NATIONAL PRESTO INDUSTRIES INC.
CERE,"Ceres, Inc.","CERES, INC."
MAA.TO,MagIndustries Corp.,MAGINDUSTRIES CORP.
MOS,The Mosaic Company,THE MOSAIC COMPANY
MBII,"Marrone Bio Innovations, Inc.","MARRONE BIO INNOVATIONS, INC."
SMG,The Scotts Miracle-Gro Company,THE SCOTTS MIRACLE-GRO COMPANY
AVD,American Vanguard Corp.,AMERICAN VANGUARD CORP.
POT.TO,"Potash Corp. of Saskatchewan, Inc.","POTASH CORP. OF SASKATCHEWAN, INC."
MON,Monsanto Company,MONSANTO COMPANY
RCF.NS,Rashtriya Chemicals And Fertilizers Limited,RASHTRIYA CHEMICALS AND FERTILIZERS LIMITED
AGU,Agrium Inc.,AGRIUM INC.
SYT,Syngenta AG,SYNGENTA AG
CF,"CF Industries Holdings, Inc.","CF INDUSTRIES HOLDINGS, INC."
FF5.MU,CHINA XLX FERTILISE,CHINA XLX FERTILISE
XCLIND.BO,Excel Industries Limited,EXCEL INDUSTRIES LIMITED
NOEC,New Oriental Energy & Chemical Corp,NEW ORIENTAL ENERGY & CHEMICAL CORP
1073.HK,CHINA AGROTECH,CHINA AGROTECH
POC.MU,POTASH SASKATCHEWAN,POTASH SASKATCHEWAN
WCQ1.F,SINOFERT HOLDINGS,SINOFERT HOLDINGS
FF5.BE,CHINA XLX FERTILISE,CHINA XLX FERTILISE
MEGH.NS,Meghmani Organics Limited,MEGHMANI ORGANICS LIMITED
ST.TO,Stonegate Agricom Ltd.,STONEGATE AGRICOM LTD.
XCLCROP.BO,Excel Crop Care Limited,EXCEL CROP CARE LIMITED
POT,"Potash Corp. of Saskatchewan, Inc.","POTASH CORP. OF SASKATCHEWAN, INC."
NUF.AX,Nufarm Limited,NUFARM LIMITED
CVAT,"Cavitation Technologies, Inc.","CAVITATION TECHNOLOGIES, INC."
POTN.MX,"Potash Corp. of Saskatchewan, Inc.","POTASH CORP. OF SASKATCHEWAN, INC."
GRVO.PA,Graines Voltz,GRAINES VOLTZ
0809.HK,GLOBAL BIO-CHEM,GLOBAL BIO-CHEM
RNF,"Rentech Nitrogen Partners, L.P.","RENTECH NITROGEN PARTNERS, L.P."
IPI,"Intrepid Potash, Inc.","INTREPID POTASH, INC."
DD,E. I. du Pont de Nemours and Company,E. I. DU PONT DE NEMOURS AND COMPANY
X6S.SG,STONEGATE AGRI,STONEGATE AGRI
IPL.AX,Incitec Pivot Limited,INCITEC PIVOT LIMITED
FF5.SG,CHINA XLX FERTILISE,CHINA XLX FERTILISE
AGU.TO,Agrium Inc.,AGRIUM INC.
FF5.F,CHINA XLX FERTILISE,CHINA XLX FERTILISE
ICP.TO,IC Potash Corp.,IC POTASH CORP.
KRN.TO,Karnalyte Resources Inc.,KARNALYTE RESOURCES INC.
X6S.F,STONEGATE AGRI,STONEGATE AGRI
GROG,"GroGenesis, Inc.","GROGENESIS, INC."
E6R.F,DUSOLO FERTILIZERS,DUSOLO FERTILIZERS
NFL.BO,National Fertilizers Ltd.,NATIONAL FERTILIZERS LTD.
GOP.V,Gourmet Ocean Products Inc.,GOURMET OCEAN PRODUCTS INC.
UAN,"CVR Partners, LP","CVR PARTNERS, LP"
YONGY,Yongnam Holdings Limited,YONGNAM HOLDINGS LIMITED
MGO.TO,Migao Corporation,MIGAO CORPORATION
MBC.TO,MBAC Fertilizer Corp,MBAC FERTILIZER CORP
TNH,"Terra Nitrogen Company, L.P.","TERRA NITROGEN COMPANY, L.P."
X6S.MU,STONEGATE AGRI,STONEGATE AGRI
CGA,"China Green Agriculture, Inc.","CHINA GREEN AGRICULTURE, INC."
JLWT,Janel World Trade Ltd.,JANEL WORLD TRADE LTD.
EXPD,Expeditors International of Washington Inc.,EXPEDITORS INTERNATIONAL OF WASHINGTON INC.
JB1.MU,J.B.HUNT TRANSP,J.B.HUNT TRANSP
UTW1.BE,UTI WORLDWIDE,UTI WORLDWIDE
EW1.MU,EXPEDIT INTL WASH,EXPEDIT INTL WASH
SINO,"Sino-Global Shipping America, Ltd.","SINO-GLOBAL SHIPPING AMERICA, LTD."
AIRT,Air T Inc.,AIR T INC.
FWRD,Forward Air Corp.,FORWARD AIR CORP.
GPW.V,Grand Power Logistics Group Inc.,GRAND POWER LOGISTICS GROUP INC.
GND.PA,Norbert Dentressangle S.A.,NORBERT DENTRESSANGLE S.A.
NS8U.SI,Hutchison Port Holdings Trust,HUTCHISON PORT HOLDINGS TRUST
RRTS,"Roadrunner Transportation Systems, Inc.","ROADRUNNER TRANSPORTATION SYSTEMS, INC."
WNL.F,WILH. WILHELMSEN,WILH. WILHELMSEN
NRINTER.BO,NR International Ltd.,NR INTERNATIONAL LTD.
CGOA.SG,MODUSLINK GLBL SOLS,MODUSLINK GLBL SOLS
CNR,China Metro-Rural Holdings Limited,CHINA METRO-RURAL HOLDINGS LIMITED
TOL.AX,Toll Holdings Limited,TOLL HOLDINGS LIMITED
XUN.SG,SHUN TAK HLDGS,SHUN TAK HLDGS
P01.SI,Poh Tiong Choon Logistics Limited,POH TIONG CHOON LOGISTICS LIMITED
PVI.V,Pro trans Ventures Inc.,PRO TRANS VENTURES INC.
XJL.F,CHINA MET-RURAL HLD,CHINA MET-RURAL HLD
FRE.NZ,Freightways Limited,FREIGHTWAYS LIMITED
K11.SI,Keppel Telecommunications & Transportation Ltd,KEPPEL TELECOMMUNICATIONS & TRANSPORTATION LTD
DPW.DE,Deutsche Post AG,DEUTSCHE POST AG
KPL.F,KEPPEL TEL & TRANSP,KEPPEL TEL & TRANSP
KSC.AX,K & S Corporation Limited,K & S CORPORATION LIMITED
MLNK,"ModusLink Global Solutions, Inc.","MODUSLINK GLOBAL SOLUTIONS, INC."
MFT.NZ,Mainfreight Limited,MAINFREIGHT LIMITED
JB1.BE,J.B.HUNT TRANSP,J.B.HUNT TRANSP
QUB.AX,Qube Holdings Limited,QUBE HOLDINGS LIMITED
UPS,"United Parcel Service, Inc.","UNITED PARCEL SERVICE, INC."
JB1.F,J.B.HUNT TRANSP,J.B.HUNT TRANSP
RLGT,"Radiant Logistics, Inc.","RADIANT LOGISTICS, INC."
XPO,"XPO Logistics, Inc.","XPO LOGISTICS, INC."
HUBG,Hub Group Inc.,HUB GROUP INC.
ATSG,"Air Transport Services Group, Inc.","AIR TRANSPORT SERVICES GROUP, INC."
CHRW,CH Robinson Worldwide Inc.,CH ROBINSON WORLDWIDE INC.
UTIW,UTi Worldwide Inc.,UTI WORLDWIDE INC.
XUN.F,SHUN TAK HLDGS,SHUN TAK HLDGS
WGI.V,Wheels Group Inc.,WHEELS GROUP INC.
RMG.L,Royal Mail plc,ROYAL MAIL PLC
CONCOR.NS,Container Corporation of India Ltd.,CONTAINER CORPORATION OF INDIA LTD.
FDX,FedEx Corporation,FEDEX CORPORATION
0494.HK,Li & Fung Limited,LI & FUNG LIMITED
XUN.MU,SHUN TAK HLDGS,SHUN TAK HLDGS
0885.HK,FOREFRONT GROUP,FOREFRONT GROUP
MIC,Macquarie Infrastructure Company LLC,MACQUARIE INFRASTRUCTURE COMPANY LLC
KLH.F,COPENHAGEN AIRPORT,COPENHAGEN AIRPORT
JAGSONAI.BO,Jagson Airlines Ltd.,JAGSON AIRLINES LTD.
FLW.DU,FLUGHAFEN WIEN,FLUGHAFEN WIEN
W7L.SG,ADP,ADP
W1J.SG,SATS,SATS
ASR,"Grupo Aeroportuario del Sureste, SAB de CV","GRUPO AEROPORTUARIO DEL SURESTE, SAB DE CV"
UZA.BE,FLUGHAFEN ZUERICH N,FLUGHAFEN ZUERICH N
BBA.L,BBA Aviation plc,BBA AVIATION PLC
UZA.F,FLUGHAFEN ZUERICH N,FLUGHAFEN ZUERICH N
CJT.TO,Cargojet Inc.,CARGOJET INC.
SKAS,"Saker Aviation Services, Inc.","SAKER AVIATION SERVICES, INC."
OMAB.MX,"Grupo Aeroportuario del Centro Norte, S.A.B. de C.V.","GRUPO AEROPORTUARIO DEL CENTRO NORTE, S.A.B. DE C.V."
TX3.BE,AIRPORTS OF THAI-F-,AIRPORTS OF THAI-F-
W7L.F,ADP,ADP
MLAAE.PA,Caire,CAIRE
UZA.SG,FLUGHAFEN ZUERICH N,FLUGHAFEN ZUERICH N
AAWW,"Atlas Air Worldwide Holdings, Inc.","ATLAS AIR WORLDWIDE HOLDINGS, INC."
PAC,Grupo Aeroportuario del Pacifico S.A.B. de CV,GRUPO AEROPORTUARIO DEL PACIFICO S.A.B. DE CV
PHII,PHI Inc.,PHI INC.
FLW.F,FLUGHAFEN WIEN,FLUGHAFEN WIEN
AER,AerCap Holdings N.V.,AERCAP HOLDINGS N.V.
PJT.V,Partner Jet Corp.,PARTNER JET CORP.
KFA.NS,Kingfisher Airlines Limited,KINGFISHER AIRLINES LIMITED
AIRM,Air Methods Corp.,AIR METHODS CORP.
AIR.NZ,Air New Zealand Limited,AIR NEW ZEALAND LIMITED
ACH,Aluminum Corporation Of China Limited,ALUMINUM CORPORATION OF CHINA LIMITED
ORT.TO,Orbite Aluminae Inc,ORBITE ALUMINAE INC
WMC.MU,ALUMINA SP ADR,ALUMINA SP ADR
WMC.SG,ALUMINA SP ADR,ALUMINA SP ADR
KLU1.SG,KAISER ALUM,KAISER ALUM
K3HD.SI,Aluminum Corporation Of China Limited,ALUMINUM CORPORATION OF CHINA LIMITED
0CZ.F,CHINA ZHONGWANG,CHINA ZHONGWANG
NOH1.DE,Norsk Hydro ASA,NORSK HYDRO ASA
R6L.SG,UNITED COMP RUSAL,UNITED COMP RUSAL
4H6.BE,HULAMIN,HULAMIN
NOR,Noranda Aluminum Holding Corp.,NORANDA ALUMINUM HOLDING CORP.
5EN.SI,Midas Holdings Limited,MIDAS HOLDINGS LIMITED
ACHN.MX,Aluminum Corporation Of China Limited,ALUMINUM CORPORATION OF CHINA LIMITED
1333.HK,CHINA ZHONGWANG,CHINA ZHONGWANG
0486.HK,RUSAL,RUSAL
HINDALCO.NS,Hindalco Industries Ltd.,HINDALCO INDUSTRIES LTD.
HINDALCO.BO,Hindalco Industries Ltd.,HINDALCO INDUSTRIES LTD.
AA,Alcoa Inc.,ALCOA INC.
MN5.SI,XinRen Aluminum Holdings Limited,XINREN ALUMINUM HOLDINGS LIMITED
CENX,Century Aluminum Co.,CENTURY ALUMINUM CO.
RUSAL.PA,United Company RUSAL Plc,UNITED COMPANY RUSAL PLC
4H6.F,HULAMIN,HULAMIN
NATIONALU.NS,National Aluminium Co. Ltd.,NATIONAL ALUMINIUM CO. LTD.
KALU,Kaiser Aluminum Corporation,KAISER ALUMINUM CORPORATION
0647.HK,JOYCE BOUTIQUE,JOYCE BOUTIQUE
NXT.L,Next Plc,NEXT PLC
CHS,Chico's FAS Inc.,CHICO'S FAS INC.
GPS.V,BSM Technologies Inc.,BSM TECHNOLOGIES INC.
GCO,Genesco Inc.,GENESCO INC.
CBK,Christopher & Banks Corporation,CHRISTOPHER & BANKS CORPORATION
MW,"The Men's Wearhouse, Inc.","THE MEN'S WEARHOUSE, INC."
VCH.MU,CHARLES VOEGELE,CHARLES VOEGELE
SFH.AX,Specialty Fashion Group Limited,SPECIALTY FASHION GROUP LIMITED
GES,Guess' Inc.,GUESS' INC.
URBN,Urban Outfitters Inc.,URBAN OUTFITTERS INC.
NXG.SG,NEXT,NEXT
RET-A.TO,Reitmans Canada Ltd.,REITMANS CANADA LTD.
O08.SI,Ossia International Limited,OSSIA INTERNATIONAL LIMITED
DSW,DSW Inc.,DSW INC.
IXD.SG,INDITEX,INDITEX
1368.HK,XTEP INT'L,XTEP INT'L
CATO,The Cato Corporation,THE CATO CORPORATION
ANN,ANN INC.,ANN INC.
PLCE,"The Children's Place, Inc.","THE CHILDREN'S PLACE, INC."
AEO,"American Eagle Outfitters, Inc.","AMERICAN EAGLE OUTFITTERS, INC."
GPS,"The Gap, Inc.","THE GAP, INC."
CHKE,Cherokee Inc.,CHEROKEE INC.
LB,"L Brands, Inc.","L BRANDS, INC."
NWY,New York & Company Inc.,NEW YORK & COMPANY INC.
SMRT,Stein Mart Inc.,STEIN MART INC.
ARO,"A‚ropostale, Inc.
","A‚ROPOSTALE, INC.
"
0238.HK,EVERGREEN INT,EVERGREEN INT
4QI.F,XTEP INTL HLDGS,XTEP INTL HLDGS
ULC.DE,UNITEDLABELS Aktiengesellschaft,UNITEDLABELS AKTIENGESELLSCHAFT
RSO.SG,ROSS STORES,ROSS STORES
GMAN,"Gordmans Stores, Inc.","GORDMANS STORES, INC."
BEBE,"Bebe Stores, Inc.","BEBE STORES, INC."
ASNA,Ascena Retail Group Inc.,ASCENA RETAIL GROUP INC.
IXD.MU,INDITEX,INDITEX
WTSL,"The Wet Seal, Inc.","THE WET SEAL, INC."
JYE.F,JOYCE BOUTIQUE,JOYCE BOUTIQUE
KMD.AX,Kathmandu Holdings Limited,KATHMANDU HOLDINGS LIMITED
YC8.F,CHICO'S FAS,CHICO'S FAS
BKE,"The Buckle, Inc.","THE BUCKLE, INC."
DXLG,"Destination XL Group, Inc.","DESTINATION XL GROUP, INC."
EXPR,Express Inc.,EXPRESS INC.
ROST,Ross Stores Inc.,ROSS STORES INC.
SSI,Stage Stores Inc.,STAGE STORES INC.
ANF,Abercrombie & Fitch Co.,ABERCROMBIE & FITCH CO.
PSUN,Pacific Sunwear of California Inc.,PACIFIC SUNWEAR OF CALIFORNIA INC.
SCVL,Shoe Carnival Inc.,SHOE CARNIVAL INC.
FRAN,Francesca's Holdings Corporation,FRANCESCA'S HOLDINGS CORPORATION
DEST,Destination Maternity Corporation,DESTINATION MATERNITY CORPORATION
TLYS,"Tilly's, Inc.","TILLY'S, INC."
BODY,Body Central Corp.,BODY CENTRAL CORP.
TTI.F,TOM TAILOR HLDG N,TOM TAILOR HLDG N
JWN,Nordstrom Inc.,NORDSTROM INC.
CTRN,"Citi Trends, Inc.","CITI TRENDS, INC."
LUX,Luxottica Group SpA,LUXOTTICA GROUP SPA
IXD.DE,Industria de Diseno Textil SA,INDUSTRIA DE DISENO TEXTIL SA
CTU-A.TO,Le Chateau Inc.,LE CHATEAU INC.
CACH,Cache Inc.,CACHE INC.
IRBT,iRobot Corporation,IROBOT CORPORATION
WHR,Whirlpool Corp.,WHIRLPOOL CORP.
AVRN,Avra Inc.,AVRA INC.
IMMR,Immersion Corporation,IMMERSION CORPORATION
EXNT,Enxnet Inc.,ENXNET INC.
PWEB,"Pacific WebWorks, Inc.","PACIFIC WEBWORKS, INC."
RALY,Rally Software Development Corp.,RALLY SOFTWARE DEVELOPMENT CORP.
QADA,QAD Inc.,QAD INC.
MATR,Mattersight Corporation,MATTERSIGHT CORPORATION
BNFT,"Benefitfocus, Inc.","BENEFITFOCUS, INC."
DWRE,"Demandware, Inc.","DEMANDWARE, INC."
SQI,"SciQuest, Inc.","SCIQUEST, INC."
CRM,"salesforce.com, inc.","SALESFORCE.COM, INC."
MBLY,Mobileye N.V.,MOBILEYE N.V.
CHYR,ChyronHego Corp.,CHYRONHEGO CORP.
FALC,Falconstor Software Inc.,FALCONSTOR SOFTWARE INC.
FIVN,"Five9, Inc.","FIVE9, INC."
VPIG,"Virtual Piggy, Inc","VIRTUAL PIGGY, INC"
OPWR,"OPOWER, Inc.","OPOWER, INC."
CDK,"CDK Global, Inc.","CDK GLOBAL, INC."
SSNT,"SilverSun Technologies, Inc.","SILVERSUN TECHNOLOGIES, INC."
BIRT,Actuate Corporation,ACTUATE CORPORATION
TXTR,Textura Corporation,TEXTURA CORPORATION
MEDA,Media Analytics Corporation,MEDIA ANALYTICS CORPORATION
CMCM,Cheetah Mobile Inc.,CHEETAH MOBILE INC.
RP,"RealPage, Inc.","REALPAGE, INC."
BSQR,BSQUARE Corp.,BSQUARE CORP.
DTVI,"Dot VN, Inc. (DE)","DOT VN, INC. (DE)"
JIVE,"Jive Software, Inc.","JIVE SOFTWARE, INC."
PRO,"PROS Holdings, Inc.","PROS HOLDINGS, INC."
FTNT,Fortinet Inc.,FORTINET INC.
UPIP,"Unwired Planet, Inc.","UNWIRED PLANET, INC."
FXIT,Forex International Trading Corp.,FOREX INTERNATIONAL TRADING CORP.
DATA,"Tableau Software, Inc.","TABLEAU SOFTWARE, INC."
IMPV,Imperva Inc.,IMPERVA INC.
ORCL,Oracle Corporation,ORACLE CORPORATION
TISA,Top Image Systems Ltd.,TOP IMAGE SYSTEMS LTD.
BGNN,"B Green Innovations, Inc.","B GREEN INNOVATIONS, INC."
SOFO,"Sonic Foundry, Inc.","SONIC FOUNDRY, INC."
ELLI,"Ellie Mae, Inc.","ELLIE MAE, INC."
TUBE,"TubeMogul, Inc.","TUBEMOGUL, INC."
XFCH,"X-Factor Communications Holdings, Inc.","X-FACTOR COMMUNICATIONS HOLDINGS, INC."
MITK,"Mitek Systems, Inc.","MITEK SYSTEMS, INC."
SNCR,"Synchronoss Technologies, Inc.","SYNCHRONOSS TECHNOLOGIES, INC."
UPLD,"Upland Software, Inc.","UPLAND SOFTWARE, INC."
ACTA,Actua Corporation,ACTUA CORPORATION
GOMO,Sungy Mobile Limited,SUNGY MOBILE LIMITED
CTRX,Catamaran Corporation,CATAMARAN CORPORATION
GLSO,GlassesOff Inc.,GLASSESOFF INC.
MOBL,"MobileIron, Inc.","MOBILEIRON, INC."
EXA,Exa Corporation,EXA CORPORATION
STMP,Stamps.com Inc.,STAMPS.COM INC.
DTSI,DTS Inc.,DTS INC.
WNYN,"Warp 9, Inc.","WARP 9, INC."
SWI,"SolarWinds, Inc.","SOLARWINDS, INC."
AGYS,Agilysys Inc.,AGILYSYS INC.
SYNA,Synaptics Inc.,SYNAPTICS INC.
GSB,"GlobalSCAPE, Inc.","GLOBALSCAPE, INC."
MOBI,Sky-mobi Limited,SKY-MOBI LIMITED
ZEN,"Zendesk, Inc.","ZENDESK, INC."
MUSS,"Multi Solutions II, Inc.","MULTI SOLUTIONS II, INC."
BLIN,"Bridgeline Digital, Inc.","BRIDGELINE DIGITAL, INC."
AMSWA,"American Software, Inc.","AMERICAN SOFTWARE, INC."
GUID,"Guidance Software, Inc.","GUIDANCE SOFTWARE, INC."
CATI,Clone Algo Technologies Inc.,CLONE ALGO TECHNOLOGIES INC.
SAP,SAP SE,SAP SE
EIGI,"Endurance International Group Holdings, Inc.","ENDURANCE INTERNATIONAL GROUP HOLDINGS, INC."
